UserId,TransactionId,Amount,Description,PostedDate,Pending,Categories
458919,keNBRdadnXHk11E8R347H411rvXpOgCp5NQe0,3.33,TRANSFER #913536 FROM CHECKING XXX-XXX-2820,2016-12-19T00:00:00-05:00,FALSE,"['Transfer', 'Credit']"
458919,YV6B45w5RQc9778D4aOyfr77zaxd6VFnvoyX8,50.68,TRANSFER #869194 FROM CHECKING XXX-XXX-2820,2016-12-15T00:00:00-05:00,FALSE,"['Transfer', 'Credit']"
458919,EgkZXDPDaoSA55y4oM6pfXrBQ9p4PMUEEjNnX,35,TRANSFER #393115 FROM CHECKING XXX-XXX-2561,2016-11-23T00:00:00-05:00,FALSE,"['Transfer', 'Credit']"
458919,KXxEMykyaoTv77J3ZVpXiAKJeo4OL1tNNMzBp,,TRANSFER #761283 FROM CHECKING XXX-XXX-2820,2016-10-24T00:00:00-04:00,FALSE,"['Transfer', 'Credit']"
458919,AZJ7nd6dEVip55bDZVx0SqaE1V9w6oijjROEV,36,TRANSFER #723271 FROM CHECKING XXX-XXX-2820,2016-10-24T00:00:00-04:00,FALSE,"['Transfer', 'Credit']"
458919,5K67qVYV8ziYee7xK8B9tJwv18z3AXtVVeQY3,79,VISA NHULL2340 4029357733 CA ON 10-15 8729,2016-10-17T00:00:00-04:00,FALSE,"['Transfer', 'Third Party', 'PayPal']"
458919,vePYkKnK03HkaaXqNxM5HPeMpXKJ7BIgg5vmz,300,ATM 8600 EAST ARAPAHOE ENGLEWOOD CO ON 10-09 6805,2016-10-11T00:00:00-04:00,FALSE,
458919,ee36rnAnmzHMqqYRKLk8H7KDbm4J5gSaayN3P,37.16,TRANSFER #292793 FROM CHECKING XXX-XXX-2820,2016-10-03T00:00:00-04:00,FALSE,"['Transfer', 'Credit']"
458919,ZVLd4o6o75cLaa81rxwKiwMJEn6XL0HvvNrgZ,6.75,TRANSFER #269905 FROM CHECKING XXX-XXX-2820,2016-09-30T00:00:00-04:00,FALSE,"['Transfer', 'Credit']"
458919,geyDmX0XVMH3RRO4y1v5Hn7yNj6O5kHAAdmjo,,TRANSFER #267108 FROM CHECKING XXX-XXX-2820,2016-09-30T00:00:00-04:00,FALSE,"['Transfer', 'Credit']"
458919,keNBRdadnXHk11E8R347HPmZV1bwJBfEELKeB,7,TRANSFER #128468 FROM CHECKING XXX-XXX-2820,2016-09-23T00:00:00-04:00,FALSE,"['Transfer', 'Credit']"
458919,peaNo151jLHd55pwRvMPHnYMayDd4xHaaPmxP,7,TRANSFER #982693 FROM CHECKING XXX-XXX-2820,,FALSE,"['Transfer', 'Credit']"
458919,JVL573K3xXc6VVMJkDqdFN0yKaBYVZUkkrxgb,169.27,Papa John's Payroll,2016-09-16T00:00:00-04:00,FALSE,"['Transfer', 'Payroll']"
458919,VVr1RJZJ95cd44zwMjaqHp31OYgmdDUkkZK3g,72.82,TRANSFER #952992 FROM CHECKING XXX-XXX-2820,2016-09-15T00:00:00-04:00,FALSE,"['Transfer', 'Credit']"
458919,DbmX5L1LNocKPPVXZ3w0ImvP5oneOXHggjObz,153.71,TRANSFER #893199 FROM CHECKING XXX-XXX-2820,2016-09-12T00:00:00-04:00,FALSE,"['Transfer', 'Credit']"
458919,keNBRdadnXHk11E8R347HPmZV1bwJBfEELKOB,10,TRANSFER #863350 FROM CHECKING XXX-XXX-2820,2016-09-12T00:00:00-04:00,FALSE,"['Transfer', 'Credit']"
